"Port","Commodity","Country","Time","Customs Value (Gen) ($US)",
"Baltimore, MD (Port)","Total All Commodities","Vietnam","2023","1,240,779,414"
"Baltimore, MD (Port)","Total All Commodities","Vietnam","2024 through August","362,162,457"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2004","1,948"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2005","12,189"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2006","151,143"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2007","2,500"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2008","164,326"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2009","67,909"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2010","4,634"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2011","49,611"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2012","131,761"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2013","740,505"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2014","556,895"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2015","719,343"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2016","51,158"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2017","263,832"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2018","581,473"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2019","304,037"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2020","429,296"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2021","728,780"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2022","848,510"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2023","131,446"
"Baltimore-Washington International Airport, MD (Port)","Total All Commodities","Vietnam","2024 through August","564,844"
"Crisfield, MD (Port)","Total All Commodities","Vietnam","2007","30,208"
"Boston, MA (Port)","Total All Commodities","Vietnam","2003","5,177,279"
"Boston, MA (Port)","Total All Commodities","Vietnam","2004","14,906,979"
"Boston, MA (Port)","Total All Commodities","Vietnam","2005","31,900,858"
"Boston, MA (Port)","Total All Commodities","Vietnam","2006","22,227,880"
"Boston, MA (Port)","Total All Commodities","Vietnam","2007","19,154,987"
"Boston, MA (Port)","Total All Commodities","Vietnam","2008","17,991,766"
"Boston, MA (Port)","Total All Commodities","Vietnam","2009","15,680,787"
"Boston, MA (Port)","Total All Commodities","Vietnam","2010","20,496,295"
"Boston, MA (Port)","Total All Commodities","Vietnam","2011","48,983,439"
"Boston, MA (Port)","Total All Commodities","Vietnam","2012","26,028,697"
"Boston, MA (Port)","Total All Commodities","Vietnam","2013","32,454,529"
"Boston, MA (Port)","Total All Commodities","Vietnam","2014","41,750,868"
"Boston, MA (Port)","Total All Commodities","Vietnam","2015","47,728,774"
"Boston, MA (Port)","Total All Commodities","Vietnam","2016","70,089,864"
"Boston, MA (Port)","Total All Commodities","Vietnam","2017","74,150,290"
"Boston, MA (Port)","Total All Commodities","Vietnam","2018","94,955,609"
"Boston, MA (Port)","Total All Commodities","Vietnam","2019","139,974,791"
"Boston, MA (Port)","Total All Commodities","Vietnam","2020","158,797,918"
"Boston, MA (Port)","Total All Commodities","Vietnam","2021","108,590,271"
"Boston, MA (Port)","Total All Commodities","Vietnam","2022","159,198,996"
"Boston, MA (Port)","Total All Commodities","Vietnam","2023","258,585,232"
"Boston, MA (Port)","Total All Commodities","Vietnam","2024 through August","237,627,818"
"Bridgeport, CT (Port)","Total All Commodities","Vietnam","2003","53,876"
