Port-level Imports,,,,
Current date: 10/04/2024 4:34 PM (Eastern Daylight Time),,,,
Port,Commodity,Time,Country,Customs Value (Gen) ($US)
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2009,Vietnam,"139,392"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2010,Vietnam,"111,786"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2011,Vietnam,"106,837"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2012,Vietnam,"102,309"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2013,Vietnam,"67,897"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2014,Vietnam,"50,420"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2015,Vietnam,"59,645"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2016,Vietnam,"113,599"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2017,Vietnam,"47,865"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2018,Vietnam,"50,115"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2019,Vietnam,"19,272"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2020,Vietnam,"55,939"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2021,Vietnam,"6,685"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2023,Vietnam,"44,686"
"Seattle, WA (Port)",07 Edible Vegetables & Certain Roots & Tubers,2024 through July,Vietnam,"70,443"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2003,Vietnam,"810,220"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2004,Vietnam,"481,760"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2005,Vietnam,"3,388,276"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2006,Vietnam,"996,400"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2007,Vietnam,"670,395"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2008,Vietnam,"157,382"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2009,Vietnam,"1,781,939"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2010,Vietnam,"2,835,184"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2011,Vietnam,"4,961,351"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2012,Vietnam,"6,540,129"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2013,Vietnam,"2,582,429"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2014,Vietnam,"697,706"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2015,Vietnam,"1,954,700"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2016,Vietnam,"2,776,951"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2017,Vietnam,"492,666"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2018,Vietnam,"3,865,494"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2019,Vietnam,"2,439,421"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2020,Vietnam,"2,795,512"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2021,Vietnam,"4,262,860"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2022,Vietnam,"5,997,606"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2023,Vietnam,"1,508,863"
"Seattle, WA (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,2024 through July,Vietnam,"3,529,598"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2003,Vietnam,"169,200"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2004,Vietnam,"106,869"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2005,Vietnam,"819,609"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2006,Vietnam,"707,113"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2007,Vietnam,"139,958"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2008,Vietnam,"719,686"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2009,Vietnam,"610,442"
